BD,Country,lus,Update,Daily request,Publisher name,Seller id,Category,Detailed Category,App bundle,App Name,Integration,Play Store/App Store Link,FullAppAdsURL,Ad format,Top GEOs,Domain,TradPlus direct adstxt,是否添加,配置ttd白名单,Media Kit,,,,,,,,,,
Sunny,China-Beijing,Domestic,,38889253,xiaomi,637,OEM,厂商,com.xiaomi.mipicks,Xiaomi GetApps ,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,132054461,xiaomi,637,OEM,厂商,com.miui.global.packageinstaller,Xiaomi Package Installer,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,2201200,xiaomi,637,OEM,厂商,com.android.browser,Mi Browser,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,118439543,xiaomi,637,OEM,厂商,com.miui.player,Mi Music,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,32992121,xiaomi,637,OEM,厂商,com.miui.securitycenter,Xiaomi Security,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,245013,xiaomi,637,OEM,厂商,com.xiaomi.discover,Xiaomi System app updater,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,38590531,xiaomi,637,OEM,厂商,com.android.thememanager,Xiaomi Themes,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,0,xiaomi,637,OEM,厂商,com.hippogames.ludosaga.mi,Ludo Master,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,1550822,xiaomi,637,OEM,厂商,com.android.providers.downloads.ui,Xiaomi Downloads,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,991062916,xiaomi,637,OEM,厂商,com.android.mms,Xiaomi Messaging,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,62238020,xiaomi,637,OEM,厂商,com.mi.globalminusscreen,App Vault,RTB,https://play.google.com/store/apps/details?id=com.mi.globalminusscreen,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,60771358,xiaomi,637,OEM,厂商,com.gogo.launcher,GoLauncher,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,36955312,xiaomi,637,OEM,厂商,com.mi.android.globalFileexplorer,File Manager,RTB,https://play.google.com/store/apps/details?id=com.mi.android.globalFileexplorer,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,13242128,xiaomi,637,OEM,厂商,com.xiaomi.glgm,Xiaomi Game Center,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,3049834,xiaomi,637,OEM,厂商,com.soulcompany.bubbleshooter.relaxing,Bubble Shooter Relaxing,RTB,https://play.google.com/store/apps/details?id=com.soulcompany.bubbleshooter.relaxing,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,1304523,xiaomi,637,OEM,厂商,com.sukhavati.gotoplaying.bubble.BubbleShooter.mint,Bubble Shooter And Friends,RTB,https://play.google.com/store/apps/details?id=com.sukhavati.gotoplaying.bubble.BubbleShooter.mint,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,1035470,xiaomi,637,OEM,厂商,com.marulgames.wordsurf,Word Surf - Word Game,RTB,https://play.google.com/store/apps/details?id=com.marulgames.wordsurf,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,767592,xiaomi,637,OEM,厂商,com.solitaire.klondike.patience.ocean.aquarium,Solitaire,RTB,https://play.google.com/store/apps/details?id=com.solitaire.klondike.patience.ocean.aquarium,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,463831,xiaomi,637,OEM,厂商,com.jewelsblast.ivygames.Adventure.free,Jewels Blast,RTB,https://play.google.com/store/apps/details?id=com.jewelsblast.ivygames.Adventure.free,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,112420,xiaomi,637,OEM,厂商,com.miui.systemAdSolution,Xiaomi Smart Service,RTB,APK,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Beijing,Domestic,,89093,xiaomi,637,OEM,厂商,com.crazy.juicer.xm,Crazy Juicer,RTB,https://play.google.com/store/apps/details?id=com.crazy.juicer.xm,https://global.e.mi.com/app-ads.txt,Display & Video,Global,,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,242531341,vivo,111784,OEM,厂商,com.vivo.appstore,V-Appstore,RTB,APK,/,Display,"ID, IN, PH,TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,1748376,vivo,111784,OEM,厂商,com.vivo.globalsearch,msa APK,RTB,APK,/,Display,"ID, IN, PH,TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,243569,vivo,111784,OEM,厂商,com.android.chrome,Google Chrome: Fast & Secure,RTB,https://play.google.com/store/apps/details?id=com.android.chrome,/,Display,"ID, IN, PH,TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,1062311879,oppo,110318,OEM,厂商,com.heytap.browser,HeyTap,RTB,https://play.google.com/store/apps/details?id=com.heytap.browser,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,114654938,oppo,110318,OEM,厂商,com.heytap.themestore,Theme,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,34935258,oppo,110318,OEM,厂商,com.coloros.filemanager,ColorOS My Files,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,11083556,oppo,110318,OEM,厂商,com.coloros.phonemanager,Phone Manager,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,27798035,oppo,110318,OEM,厂商,com.realme.securitycheck,Security check,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,47441217,oppo,110318,OEM,厂商,com.oppo.music,OPPO Music,RTB,https://play.google.com/store/apps/details?id=com.oppo.music,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,17177430,oppo,110318,OEM,厂商,com.coloros.video,Videos,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,3499331703,oppo,110318,OEM,厂商,com.oppo.market,Oppo app market,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,79114840,oppo,110318,OEM,厂商,com.coloros.browser,ColorOS,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,15665993,oppo,110318,OEM,厂商,com.oppo.launcher,OPPO Home,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
Sunny,China-Shenzhen,Domestic,,4958815,oppo,110318,OEM,厂商,com.opos.cs,OPOS,RTB,APK,/,Display,"ID, IN, PH, TH, MY, VN, PK",,,,,,,,,,,,,,,
